kikuyu	english
Agĩcooka akĩinamĩrĩra rĩngĩ, akĩandĩka thĩ na kĩara. Rĩrĩa maiguire ũguo, makĩambĩrĩria kwehera hau ũmwe kwa ũmwe, maambĩrĩirie na arĩa akũrũ, nginya hagĩtigara o Jesũ na mũtumia ũcio arũngiĩ o hau.	Therefore the neighbors and those who saw that he was blind before said, “Isn’t this he who sat and begged?”
“Ũyũ nĩwe mũndũ ũrĩa wagire gũtua Ngai kĩĩhitho gĩake kĩa hinya, no eehokire ũtonga wake mũingĩ, na akĩgĩa hinya nĩ ũndũ wa kũniina andũ arĩa angĩ!” No rĩrĩ, niĩ ndariĩ ta mũtĩ wa mũtamaiyũ, ũrĩa ũrakũra wega ũrĩ thĩinĩ wa nyũmba ya Ngai; ndĩhokete wendo wa Ngai ũrĩa ũtathiraga nginya tene na tene.	“Behold, this is the man who didn’t make God his strength, but trusted in the abundance of his riches, and strengthened himself in his wickedness.”
“Gũtirĩ mũndũ ũũĩ ũhoro wa mũthenya ũcio kana ithaa rĩu, o na araika a igũrũ matiũĩ, o na Mũriũ ndooĩ, tiga no Ithe wiki.	“But no one knows of that day and hour, not even the angels of heaven,‡ but my Father only.
nĩngahonokia rũũru rwakwa, naruo rũtigaacooka gũtahwo rĩngĩ. Nĩngatuithania ciira gatagatĩ ka ngʼondu ĩmwe na ĩrĩa ĩngĩ.	therefore I will save my flock, and they will no more be a prey. I will judge between sheep and sheep.
Niĩ ndaarĩ na ũkũrũ wa mĩaka mĩrongo ĩna hĩndĩ ĩrĩa Musa ndungata ya Jehova aandũmire kuuma Kadeshi-Barinea thiĩ ngathigaane bũrũri ũcio. Nĩndamũcookeirie ũhoro o ta ũrĩa warĩ ngoro-inĩ yakwa,	The border went up to Debir from the valley of Achor, and so northward, looking toward Gilgal, that faces the ascent of Adummim, which is on the south side of the river. The border passed along to the waters of En Shemesh, and ended at En Rogel.
Mũndũ ũrĩa ũrĩmaga mũgũnda wake arĩĩkoragwo na irio nyingĩ, no ũrĩa ũhanyũkanagia na maũndũ hatarĩ arĩhũũnaga o thĩĩna.	A servant can’t be corrected by words. Though he understands, yet he will not respond.
“Ũkĩra, ũthiĩ itũũra rĩrĩa inene rĩa Nineve, na ũrĩhunjĩrie ũhoro ũrĩa ngũkwĩra.” Nake Jona agĩathĩkĩra ndũmĩrĩri ya Jehova, agĩthiĩ Nineve. Na rĩrĩ, Nineve rĩarĩ itũũra inene na rĩa bata mũno. Kũrĩthiũrũrũka rĩothe kũngĩaninire mĩthenya ĩtatũ.	He prayed to Yahweh, and said, “Please, Yahweh, wasn’t this what I said when I was still in my own country? Therefore I hurried to flee to Tarshish, for I knew that you are a gracious God and merciful, slow to anger, and abundant in loving kindness, and you relent of doing harm.
Nĩgũkorwo ũrĩa wothe wendaga kũhonokia muoyo wake nĩ kũũrwo akoorwo nĩguo, no ũrĩa wothe ũkoorwo nĩ muoyo wake nĩ ũndũ wakwa na nĩ ũndũ wa Ũhoro-ũrĩa-Mwega, nĩakaũhonokia.	For whoever wants to save his life will lose it; and whoever will lose his life for my sake and the sake of the Good News will save it.
Wakĩagire kũiga mbeeca ciakwa bengi nĩkĩ, nĩgeetha rĩrĩa ngaacooka ndĩcioye irĩ na uumithio?’	Then why didn’t you deposit my money in the bank, and at my coming, I might have earned interest on it?’
Ta rora wone ũrĩa andũ arĩa mekaga ũũru magwĩte thĩ; maikanĩtio thĩ, na matingĩhota gũũkĩra!	The wicked plots against the just, and gnashes at him with his teeth.
Ĩtũũraga kĩharũrũka-inĩ kĩa ihiga, na nĩ ho ĩraaraga; rũhĩa-inĩ rwa ihiga iraaya mũno nĩ ho mwĩgitio wayo.	On the cliff he dwells and makes his home, on the point of the cliff and the stronghold.
Wee Ngai, o na ndakũra ngĩe mbuĩ, ndũkanandiganĩrie, o nginya nyumbũre ũhoro wa ũhoti waku kũrĩ rũciaro rũrĩa rũrooka, na nyumbũre ũhoro wa hinya waku kũrĩ arĩa othe magooka thuutha.	Praise be to Yahweh God, the God of Israel, who alone does marvelous deeds.
Mũtikanareke ngoro cianyu ciũrwo nĩ hinya, kana mwĩtigĩre hĩndĩ ĩrĩa ndeto cia mũhuhu ikaiguuo bũrũri-inĩ; ũhoro ũmwe wa mũhuhu nĩũkaiguuo mwaka ũyũ, na ũngĩ ũiguuo mwaka ũcio ũngĩ ũrũmĩrĩire, mũhuhu ũkoniĩ ndeto cia haaro bũrũri-inĩ, na wa mwathani ũmwe agĩũkĩrĩra mwathani ũrĩa ũngĩ.	Don’t let your heart faint. Don’t fear for the news that will be heard in the land. For news will come one year, and after that in another year news will come, and violence in the land, ruler against ruler.
Mawĩra ma moko make nĩ ma kwĩhokeka, na nĩ ma kĩhooto; mataaro make mothe nĩ ma kwĩhokwo. Nĩ marũmu nginya tene na tene, maheanĩtwo na wĩhokeku na ũrũngĩrĩru.	The day of unleavened bread came, on which the Passover must be sacrificed.
Ngĩkiuga atĩrĩ, “Niĩ ndikona Jehova rĩngĩ, ndikona Jehova ndĩ bũrũri ũyũ wa arĩa matũũraga muoyo; gũtirĩ hĩndĩ ĩngĩ ngona mũndũ wa thĩ, kana ngorwo hamwe na arĩa marĩ gũkũ thĩ.	I said, “I won’t see Yah, Yah in the land of the living. I will see man no more with the inhabitants of the world.
Ndarĩ mũndũ o na ũmwe eetĩkĩririe amanyariire; nĩ ũndũ wao akĩrũithia athamaki, akĩmeera atĩrĩ:	He allowed no one to do them wrong. Yes, he reproved kings for their sakes,
arĩ rĩo ihinda rĩrĩa Ayahudi meeyũkĩrĩirie kũrĩ thũ ciao, o na arĩ guo mweri ũrĩa kĩeha kĩao gĩatuĩkire gĩkeno, namo macakaya mao magĩtuĩka mũthenya wa gũkũngũiya. Aamandĩkĩire marũmagie mĩthenya ĩyo ĩrĩ mĩthenya ya ndĩa na ya gĩkeno, na ya kũheana iheo cia irio harĩ mũndũ na ũrĩa ũngĩ, na ya kũhe athĩĩni iheo. Nĩ ũndũ ũcio Ayahudi magĩtĩkĩra gũthiĩ na mbere na gũkũngũĩra ũguo maambĩrĩirie, magekaga ũrĩa Moridekai aamandĩkĩire.	as the days in which the Jews had rest from their enemies, and the month which was turned to them from sorrow to gladness, and from mourning into a holiday; that they should make them days of feasting and gladness, and of sending presents of food to one another, and gifts to the needy.
“Makenagia mũthamaki na waganu wao, magakenia anene na maheeni mao.	They make the king glad with their wickedness, and the princes with their lies.
Nĩarĩtũmaga ũthingu waku ware o ta rũciinĩ, nakĩo kĩhooto gĩa ciira waku kĩare o ta riũa rĩa mũthenya barigici.	he will make your righteousness shine out like light, and your justice as the noon day sun.
Nĩmeĩkĩrĩire na magĩĩka maũndũ marĩ magigi maitho-inĩ makwa. Nĩ ũndũ ũcio nĩndamaingatire, o ta ũguo muonete.	They were arrogant and committed abomination before me. Therefore I took them away when I saw it.
Johana ehumbaga nguo ciathondeketwo na guoya wa ngamĩĩra, na nĩehotoraga mũcibi wa rũũa njohero, na aarĩĩaga ngigĩ na ũũkĩ wa gĩthaka.	But there were some of the scribes sitting there and reasoning in their hearts,
Agĩthiiathiia, agĩturumithia ũthiũ thĩ, akĩhooya, akiuga atĩrĩ, “Baba, kũngĩhoteka-rĩ, njehereria gĩkombe gĩkĩ. No ti ũrĩa niĩ ngwenda, no nĩ ũrĩa wee ũkwenda.”	He went forward a little, fell on his face, and prayed, saying, “My Father, if it is possible, let this cup pass away from me; nevertheless, not what I desire, but what you desire.”
Nĩgũkorwo nĩagaatha araika ake nĩ ũndũ waku, makũgitagĩre mĩthiĩre-inĩ yaku yothe;	My eye has also seen my enemies. My ears have heard of the wicked enemies who rise up against me.
“No rĩrĩ, ũmũthĩ ũyũ tũrĩ ngombo, ngombo bũrũri-inĩ ũrĩa waheire maithe maitũ ma tene nĩguo marĩĩage matunda maguo na indo iria ingĩ njega ikũraga kuo.	“Behold, we are servants today, and as for the land that you gave to our fathers to eat its fruit and its good, behold, we are servants in it.
Gũthererwo gĩthiithi nĩ mũthamaki nĩ muoyo; ũtugi wake ũtariĩ ta itu rĩa mbura ĩrĩa ĩkũragia irio.*	He who justifies the wicked, and he who condemns the righteous, both of them alike are an abomination to Yahweh.
Mũtigacookage rĩngĩ kũhaara mĩgũnda-inĩ yanyu ya mĩthabibũ, o na mũtikahaarage thabibũ iria igũĩte thĩ. Citigagĩriei andũ arĩa athĩĩni na arĩa ageni. Niĩ nĩ niĩ Jehova Ngai wanyu.	You shall not glean your vineyard, neither shall you gather the fallen grapes of your vineyard. You shall leave them for the poor and for the foreigner. I am Yahweh your God.
Ũkai na ihenya, inyuĩ ndũrĩrĩ cia kũndũ guothe, mũngane, mwĩcookanĩrĩrie hamwe. Wee Jehova, tũma njamba ciaku cia ita ciikũrũke kuo.	Hurry and come, all you surrounding nations, and gather yourselves together.” Cause your mighty ones to come down there, Yahweh.
O rũciinĩ reke njiguage kiugo kĩa wendo waku ũrĩa ũtathiraga, nĩgũkorwo nĩwe ndĩĩhokete. Nyonia njĩra ĩrĩa njagĩrĩirwo nĩkũgera, nĩgũkorwo muoyo wakwa ndĩwerekeirie igũrũ kũrĩ we.	Yahweh is gracious, merciful, slow to anger, and of great loving kindness.
Gũtirĩ kĩndũ kĩrĩ nja ya mũndũ kĩngĩmũgwatia ‘thaahu’ nĩ ũndũ wa gũtoonya thĩinĩ wake. No rĩrĩ, kĩrĩa kiumaga thĩinĩ wa mũndũ nĩkĩo kĩmũgwatagia ‘thaahu’.”	There is nothing from outside of the man that going into him can defile him; but the things which proceed out of the man are those that defile the man. or, “I AM!”  or, tassel
Kuuma kũrĩ we mwĩrĩ wothe ũnyiitithanagio na ũkohanio hamwe nĩ nga iria iũnyiitithanagia, naguo ũgakũraga na ũkeyakaga guo mwene thĩinĩ wa wendani, o kĩĩga gĩkĩrutaga wĩra wakĩo. Gũtũũra ta Ciana cia Ũtheri Nĩ ũndũ ũcio ngũmwĩra atĩrĩ, na ngamũringĩrĩria thĩinĩ wa Mwathani, atĩ no nginya mũtige gũtũũraga ta ũrĩa andũ-a-Ndũrĩrĩ matũũraga, marĩ na meciiria ma tũhũ.	from whom all the body, being fitted and knit together through that which every joint supplies, according to the working in measure of each individual part, makes the body increase to the building up of itself in love.
Mũndũ ũrĩa wĩkĩte ũguo mũigĩre mũndũ mũũru amũũkĩrĩre; mwena wake wa ũrĩo nĩkũrũgame mũndũ wa kũmũthitanga.	He has shown his people the power of his works, in giving them the heritage of the nations.
na Meshezabeli, na Zadoku, na Jadua,	Meshezabel, Zadok, Jaddua,
Andũ a bũrũri ũngĩ nĩmagatũũra Ashidodi, na niĩ nĩnganiina mwĩtĩĩo wa Afilisti.	Foreigners will dwell in Ashdod, and I will cut off the pride of the Philistines.
Thayũ na kũiguĩrwo tha kũrogĩa na andũ arĩa marũmagĩrĩra wathani ũyũ, o hamwe na andũ a Isiraeli arĩa a Ngai.	As many as walk by this rule, peace and mercy be on them, and on God’s Israel.
Ũkai mũthikĩrĩrie inyuothe arĩa mwĩtigĩrĩte Ngai; rekei ndĩmũhe ũhoro wa ũrĩa anjĩkĩire.	Come and hear, all you who fear God. I will declare what he has done for my soul.
Kĩyo gĩakwa nĩkĩĩnogetie, nĩgũkorwo thũ ciakwa nĩcitiganĩirie ciugo ciaku.	My zeal wears me out, because my enemies ignore your words.
Jehova Mwene-Hinya-Wothe ekuuga ũũ: “O ta ũrĩa ndaatuĩte atĩ nĩngũmũrehere mwanangĩko, na ndiigana kũigua tha rĩrĩa maithe manyu mandakaririe-rĩ,” Jehova Mwene-Hinya-Wothe ekuuga atĩrĩ,	For Yahweh of Armies says: “As I thought to do evil to you when your fathers provoked me to wrath,” says Yahweh of Armies, “and I didn’t repent,
Mũthĩnjĩri-Ngai ũrĩa mũitĩrĩrie maguta na akaamũrwo gũcooka ithenya rĩa ithe ta mũthĩnjĩri-Ngai ũrĩa mũnene nĩwe ũkaahoroheria andũ. Nĩakehumbaga nguo iria nyamũre cia gatani 33na ahoroherie Handũ-harĩa-Hatheru-Mũno, na Hema- ya-Gũtũnganwo, na kĩgongona, na athĩnjĩri-Ngai, na andũ othe a mũingĩ wa Isiraeli.	The priest, who is anointed and who is consecrated to be priest in his father’s place, shall make the atonement, and shall put on the linen garments, even the holy garments.
“Na rĩrĩa ndenyũrangĩire andũ arĩa ngiri inya mĩgate ĩrĩa mũgwanja-rĩ, nĩ ciondo ciigana muonganirie ciiyũrĩte cienyũ cia mĩgate?” Nao makĩmũcookeria atĩrĩ, “Ciarĩ ciondo mũgwanja.”	“When the seven loaves fed the four thousand, how many baskets full of broken pieces did you take up?” They told him, “Seven.”
“Wĩhotore ta mũndũ mũrũme; nĩngũkũũria ciũria, nawe ũkĩnjookerie.	“Now brace yourself like a man. I will question you, and you will answer me.
“Jehova ekuuga atĩrĩ: O ta ũrĩa ndaarehithĩirie andũ aya mathĩĩna manene, ũguo noguo ngaamahe ũgaacĩru ũrĩa wothe ndĩmerĩire.	For Yahweh says: “Just as I have brought all this great evil on this people, so I will bring on them all the good that I have promised them.
Mũrathi na mĩguĩ ndakeyũmĩrĩria, na mũthigari ũrĩa ũhiũkaga ndakahota kũũra, na ũrĩa ũhaicĩte mbarathi ndakahonokia muoyo wake.	He who handles the bow won’t stand. He who is swift of foot won’t escape. He who rides the horse won’t deliver himself.
Hĩndĩ ĩrĩa Ayahudi moonire kĩrĩndĩ kĩu, makĩnyiitwo nĩ ũiru na makĩaria ciugo njũru cia gũũkĩrĩra ũrĩa Paũlũ oigaga. Nao Paũlũ na Baranaba makĩmacookeria marĩ na ũcamba makĩmeera atĩrĩ, “No nginya tũngĩram- bire kũheana kiugo kĩa Ngai kũrĩ inyuĩ. No rĩrĩ, kuona nĩmũraũrega na mũgetuĩra atĩ mũtiagĩrĩirwo nĩ muoyo wa tene na tene-rĩ, rĩu nĩtũkũgarũrũka tũthiĩ kũrĩ andũ-a-Ndũrĩrĩ.	But when the Jews saw the multitudes, they were filled with jealousy, and contradicted the things which were spoken by Paul, and blasphemed.  TR, NU read “a Savior, Jesus” instead of “salvation”  TR, NU read “to all the people of Israel” instead of “to Israel”
Nowe Gedalia mũrũ wa Ahikamu akĩĩra Johanani mũrũ wa Karea atĩrĩ, “Ndũkae gwĩka ũndũ ta ũcio! Ũhoro ũcio ũraaria ũkoniĩ Ishumaeli ti wa ma.”	So Zedekiah the king swore secretly to Jeremiah, saying, “As Yahweh lives, who made our souls, I will not put you to death, neither will I give you into the hand of these men who seek your life.”
Nĩndĩmũheete bũrũri wa Misiri ũtuĩke kĩheo gĩa kĩyo gĩake, tondũ we na mbũtũ ciake cia ita meekire ũguo nĩ ũndũ wakwa, ũguo nĩguo Mwathani Jehova ekuuga.	I have given him the land of Egypt as his payment for which he served, because they worked for me,’ says the Lord Yahweh.
O na ithe, kana nyina, kana mũrũ wa nyina, kana mwarĩ wa nyina angĩkua, ndakanethaahie nĩ ũndũ wao, tondũ arĩ na rũũri rwa kwĩyamũrĩra Ngai mũtwe.	He shall not make himself unclean for his father, or for his mother, for his brother, or for his sister, when they die, because his separation to God† is on his head.
Nĩngakũhe igĩĩna iria ihithĩtwo nduma-inĩ, ngũhe ũtonga ũrĩa mũhithe,	I will give you the treasures of darkness and hidden riches of secret places, that you may know that it is I, Yahweh, who calls you by your name, even the God of Israel.
Mũndũ o wothe angĩkaahutia kĩndũ kĩrĩ na thaahu, arĩ thaahu uumĩte harĩ mũndũ, kana nyamũ ĩrĩ na thaahu, kana kĩndũ o ro gĩothe kĩũru biũ kĩrĩ na thaahu, na acooke arĩe nyama o yothe ya iruta rĩu rĩa ũiguano rĩrutĩirwo Jehova-rĩ, mũndũ ũcio no nginya aingatwo kuuma kũrĩ andũ ao.’ ” Kũgirio kũrĩa Maguta na Thakame Ningĩ Jehova akĩĩra Musa atĩrĩ,	He washed the innards and the legs with water; and Moses burned the whole ram on the altar. It was a burnt offering for a pleasant aroma. It was an offering made by fire to Yahweh, as Yahweh commanded Moses.
na mahuru mothe,	any kind of raven,
O ta ũrĩa igũrũ rĩraihanĩrĩirie na thĩ, ũguo no taguo wendo wake ũrĩ mũnene kũrĩ arĩa mamwĩtigĩrĩte;	For as the heavens are high above the earth, so great is his loving kindness toward those who fear him.
Kũgirio Kũrĩa Thakame Ningĩ Jehova akĩĩra Musa atĩrĩ,	1 Yahweh spoke to Moses, saying,
Ndegera gũtũ na ũhiũhe ũũke ũũhatũre; tuĩka rwaro rwakwa rwa ihiga rwa kũũrĩra, ũtuĩke gĩikaro kĩirigĩre na hinya, ũũhonokie.	Bow down your ear to me. Deliver me speedily. Be to me a strong rock, a house of defense to save me.
“O na gũtuĩka Efiraimu nĩakĩte igongona nyingĩ cia kũrutagĩrwo maruta ma kũhoroherio mehia, icio ituĩkĩte igongona cia kwĩhagĩria.	Because Ephraim has multiplied altars for sinning, they became for him altars for sinning.
Ngũmwĩra atĩrĩ na ma, amwe marũngiĩ haha matigacama gĩkuũ matonete Mũrũ wa Mũndũ agĩũka na ũthamaki wake.”	Most certainly I tell you, there are some standing here who will in no way taste of death until they see the Son of Man coming in his Kingdom.”
Nĩnjũũĩ mĩnyamaro yaku na ũthĩĩni waku, no ũrĩ gĩtonga! Nĩnjũũĩ ũrĩa ũrumagwo nĩ arĩa moigaga atĩ nĩ Ayahudi no ti Ayahudi, no nĩ thunagogi ya Shaitani.	I John, your brother and partner with you in the oppression, Kingdom, and perseverance in Christ Jesus, was on the isle that is called Patmos because of God’s Word and the testimony of Jesus Christ.
Moko ma mũndũ ũrĩ kĩyo nĩmo magaathana, no kĩgũũta gĩkaarutithio wĩra wa ũkombo.	The hands of the diligent ones shall rule, but laziness ends in slave labor.
Mangʼũrĩ ma mũthamaki nĩ ta mũraramo wa mũrũũthi; ũrĩa ũmũrakaragia nĩ muoyo wake ateaga.	The terror of a king is like the roaring of a lion.
Tondũ ũcio mũndũ ũrĩa mũbacĩrĩri no gũkira akiraga ki mahinda ta macio, tondũ nĩ mahinda mooru.	you who rejoice in a thing of nothing, who say, ‘Haven’t we taken for ourselves horns by our own strength?’
Kũrathimwo-rĩ, nĩ mũndũ ũrĩa ũgũũka na rĩĩtwa rĩa Jehova. Ithuĩ nĩtwamũrathima tũrĩ thĩinĩ wa nyũmba ya Jehova.	Blessed is he who comes in Yahweh’s name! We have blessed you out of Yahweh’s house.
kũngĩkorwo andũ a nyũmba yakwa matirĩ moiga atĩrĩ, ‘Nũũ ũtarĩ warĩa nyama cia Ayubu akahũũna?’	if the men of my tent have not said, ‘Who can find one who has not been filled with his meat?’
Narĩo itũũra rĩrĩa inene rĩgĩatũkana njatũ ithatũ, namo matũũra ma ndũrĩrĩ makĩmomoka. Nake Ngai akĩririkana Babuloni itũũra rĩrĩa inene, na akĩrĩhe gĩkombe kĩaiyũrĩtio ndibei ya ũrũrũ wa mangʼũrĩ make.	The great city was divided into three parts, and the cities of the nations fell. Babylon the great was remembered in the sight of God, to give to her the cup of the wine of the fierceness of his wrath.
Mũndũ wa mũhuhu nĩoimagia ndeto cia ndundu nja, no mũndũ mwĩhokeku nĩaigaga hitho.	One who brings gossip betrays a confidence, but one who is of a trustworthy spirit is one who keeps a secret.
Ha ũhoro ũkoniĩ Dameski: “Hamathu na Aripadi nĩamaku, nĩ ũndũ nĩmaiguĩte ndeto njũru. Nĩmorĩtwo nĩ hinya, makaagaaga ta maaĩ ma iria.	Of Damascus: “Hamath and Arpad are confounded, for they have heard evil news. They have melted away. There is sorrow on the sea. It can’t be quiet.
Marigĩrĩrio-inĩ nĩgũkarahũka ũthamaki ũngĩ wa kana ũrĩ hinya ta kĩgera, nĩgũkorwo kĩgera kiunangaga na gĩkahehenja indo ciothe, na o ta ũrĩa kĩgera kiunangaga indo igatuĩka tũcunjĩ ũguo noguo ũkaahehenja na uunange mothamaki macio mangĩ mothe.	The fourth kingdom will be strong as iron, because iron breaks in pieces and subdues all things; and as iron that crushes all these, it will break in pieces and crush.
Ngai mwene thayũ aroikara hamwe na inyuĩ inyuothe. Ameni.	Now the God of peace be with you all. Amen.
O ũndũ ũmwe athĩnjĩri-Ngai arĩa anene, na arutani a watho, na athuuri o nao makĩmũnyũrũria.	Watch and pray, that you don’t enter into temptation. The spirit indeed is willing, but the flesh is weak.”
Narĩo riiko rĩu rĩa kĩgongona rĩiganaine mĩena yothe ĩna, rĩrĩ na ũraihu wa mĩkono ikũmi na ĩĩrĩ,† na wariĩ wa mĩkono ikũmi na ĩĩrĩ.	the thresholds, and the closed windows, and the galleries around on their three stories, opposite the threshold, with wood ceilings all around, and from the ground up to the windows, (now the windows were covered),
“Ithuĩ tũrĩ aira a maũndũ marĩa mothe eekire thĩinĩ wa bũrũri wa Ayahudi o na Jerusalemu. Nĩmamũũragire na njĩra ya kũmwamba mũtĩ-igũrũ. No mũthenya wa gatatũ Ngai akĩmũriũkia kuuma kũrĩ arĩa akuũ na agĩtũma onekane kũrĩ andũ.	We are witnesses of everything he did both in the country of the Jews and in Jerusalem; whom they also‡ killed, hanging him on a tree.
“Ngai nĩanduĩte mũndũ wa kuunwo thimo nĩ andũ othe, nduĩkĩte mũndũ wa gũtuagĩrwo mata ũthiũ nĩ andũ.	“But he has made me a byword of the people. They spit in my face.
Ndũkanametigĩre, nĩgũkorwo ndĩ hamwe nawe, na nĩngakũhonokia,” ũguo nĩguo Jehova ekuuga.	Don’t be afraid because of them, for I am with you to rescue you,” says Yahweh.
‘Jehova nĩagũtuĩte mũthĩnjĩri-Ngai ithenya rĩa Jehoiada nĩguo ũtuĩke mũrũgamĩrĩri wa nyũmba ya Jehova; wee wagĩrĩirwo nĩkuoherera mũgũrũki o wothe ũretua mũnabii ndungu magũrũ na ũmuoherere igera cia ngingo. Nĩ ũndũ ũcio-rĩ, nĩ kĩĩ kĩgirĩtie wee ũkaanie Jeremia ũcio wa kuuma Anathothu, o ũcio wĩtuaga mũnabii gatagatĩ-inĩ kanyu?	“Yahweh has made you priest in the place of Jehoiada the priest, that there may be officers in Yahweh’s house, for every man who is crazy and makes himself a prophet, that you should put him in the stocks and in shackles.
Magaakũherithia marĩ na rũthũũro, na magũtunye indo ciaku ciothe iria ũnogeire. Magaagũtiga njaga, ũrĩ ũtheri, nacio thoni cia ũmaraya waku nĩikaguũrio. Naguo ũũra-thoni na ũmaraya waku.	They will deal with you in hatred, and will take away all your labor, and will leave you naked and bare. The nakedness of your prostitution will be uncovered, both your lewdness and your prostitution.
Tondũ ũcio nĩngũũranĩte atĩ ti niĩ mwene njĩkaga maũndũ macio, no nĩ wĩhia ũrĩa ũtũũraga	For if by the trespass of the one, death reigned through the one; so much more will those who receive the abundance of grace and of the gift of righteousness reign in life through the one, Jesus Christ.
Ciana iroina ngũ, namo maithe mao magaakia mwaki, nao atumia magakanda mũtu, makarugĩra ngai ĩrĩa ĩĩtagwo Mũthamaki-Mũndũ-wa-nja wa kũũrĩa Igũrũ tũmĩgate, na maitĩre ngai ingĩ maruta ma indo cia kũnyuuo nĩguo maathirĩkie ndaakare.	The children gather wood, and the fathers kindle the fire, and the women knead the dough, to make cakes to the queen of the sky, and to pour out drink offerings to other gods, that they may provoke me to anger.
We na mbũtũ ciake cia ita, o mbũtũ icio ikĩrĩtie ndũrĩrĩ iria ingĩ ciothe kwaga tha, nĩcio ikaarehwo, iniine bũrũri ũcio. Nĩigacomora hiũ ciao cia njora, ciũkĩrĩre bũrũri wa Misiri na ciyũrie bũrũri ũcio andũ arĩa moragĩtwo.	I will deliver him into the hand of the mighty one of the nations. He will surely deal with him. I have driven him out for his wickedness.
Angĩkorwo aametire ‘ngai’, o acio kiugo kĩa Ngai gĩokire kũrĩ o, (na Maandĩko matheru matingĩaga kũhingio)	If he called them gods, to whom the word of God came (and the Scripture can’t be broken),
Riitho rĩaku nĩrĩo tawa wa mwĩrĩ waku. Rĩrĩa maitho maku marĩ mega, mwĩrĩ waku wothe o naguo ũkoragwo ũiyũrĩte ũtheri. No rĩrĩa matarĩ mega-rĩ, mwĩrĩ waku o naguo ũkoragwo ũiyũrĩte nduma.	The lamp of the body is the eye. Therefore when your eye is good, your whole body is also full of light; but when it is evil, your body also is full of darkness.
Ndiiragĩrĩra, na nĩngũhonokio; ngũtũũra ndĩĩte uuge waku.	Hold me up, and I will be safe, and will have respect for your statutes continually.
Nĩatũmĩte kũgĩe thayũ mĩhaka-inĩ yaku, na agakũhũũnia na ngano ĩrĩa njega mũno.	He has lifted up the horn of his people, the praise of all his saints, even of the children of Israel, a people near to him. Praise Yah!
Handũ ha ũguo-rĩ, ngũhe Alawii icunjĩ cia ikũmi iria andũ a Isiraeli marehaga irĩ maruta kũrĩ Jehova ituĩke igai rĩao. Nĩkĩo ndoigire igũrũ rĩao atĩrĩ: ‘Matikagĩa na igai thĩinĩ wa andũ a Isiraeli.’ ”	For the tithe of the children of Israel, which they offer as a wave offering to Yahweh, I have given to the Levites for an inheritance. Therefore I have said to them, ‘Among the children of Israel they shall have no inheritance.’ ”
Nĩngahumba athĩnjĩri-Ngai akuo ũhonokio, na andũ akuo arĩa aamũre matũũre mainaga nĩ gũkena.	They have mouths, but they can’t speak. They have eyes, but they can’t see.
Nĩndĩraigua kĩrĩro ta kĩa mũndũ-wa-nja akĩrũmwo, arĩ na mũcaayo ta wa mũtumia agĩciara mwana wake wa irigithathi: nĩ kĩrĩro kĩa Mwarĩ wa Zayuni agĩteeha, atambũrũkĩtie moko make, akiugaga atĩrĩ, “Wũi-ĩ-iya-wakwa-ĩ! Nĩndĩraringĩka; muoyo wakwa nĩmũneane kũrĩ oragani.”	For I have heard a voice as of a woman in travail, the anguish as of her who gives birth to her first child, the voice of the daughter of Zion, who gasps for breath, who spreads her hands, saying, “Woe is me now! For my soul faints before the murderers.”
“ ‘O na angĩaga gũkũũrwo na njĩra ĩmwe ya icio, we na ciana ciake no nginya makaarekererio Mwaka wa Jubilii wakinya, 55nĩgũkorwo andũ a Isiraeli nĩ ndungata ciakwa. Acio nĩ ndungata ciakwa, iria ndaarutire bũrũri wa Misiri. Niĩ nĩ niĩ Jehova Ngai wanyu.	If he isn’t redeemed by these means, then he shall be released in the Year of Jubilee: he and his children with him.
Ndũrĩrĩ ciothe nĩikamũtungatĩra we, na mũriũ, o na mwana wa mũriũ, nginya rĩrĩa ihinda rĩa bũrũri wake rĩgaakinya; hĩndĩ ĩyo ndũrĩrĩ nyingĩ na athamaki anene nĩmakamũtua wa kũmatungatagĩra arĩ o.	The priests and the prophets and all the people heard Jeremiah speaking these words in Yahweh’s house.
Tha ciaku ikoragwo irĩ njerũ rũciinĩ o rũciinĩ, wĩhokeku waku nĩ mũnene mũno.	They are new every morning. Great is your faithfulness.
Hĩndĩ ĩrĩa mũrĩmi ekũrĩma nĩguo ahaande-rĩ, atũũraga o arĩmaga? Atũũraga aciimbaga na akĩhũũraga harũ?	Then the end comes, when he will deliver up the Kingdom to God the Father,
Mũndũ wa mũhuhu nĩoimagia ndeto cia ndundu nja, nĩ ũndũ ũcio wĩthemage mũndũ waragia mũno.	He who goes about as a tale-bearer reveals secrets; therefore don’t keep company with him who opens wide his lips.
